id,contentment
19556,content
90035,content
12360,neutral or discontent
77959,content
36875,neutral or discontent
39177,content
79433,content
97286,content
27508,content
62482,content
47583,content
115550,neutral or discontent
119987,content
42141,content
2274,content
22470,neutral or discontent
124915,neutral or discontent
17836,content
76872,neutral or discontent
64287,content
63995,content
75855,neutral or discontent
106181,neutral or discontent
44304,content
82602,neutral or discontent
7823,neutral or discontent
127781,content
34501,content
121658,content
20219,content
67551,neutral or discontent
48994,content
70811,neutral or discontent
75241,neutral or discontent
12312,content
48372,neutral or discontent
51477,content
84204,content
70990,neutral or discontent
101991,neutral or discontent
87447,neutral or discontent
16112,content
16172,neutral or discontent
106558,content
11536,neutral or discontent
47773,content
70521,content
96283,neutral or discontent
117993,content
74703,neutral or discontent
110840,neutral or discontent
88249,content
125877,neutral or discontent
83968,neutral or discontent
122719,content
3949,neutral or discontent
45542,content
43742,neutral or discontent
122093,neutral or discontent
121454,neutral or discontent
738,content
75235,neutral or discontent
88653,neutral or discontent
26594,content
38339,content
46063,neutral or discontent
27957,neutral or discontent
17270,neutral or discontent
87976,content
31640,content
41461,neutral or discontent
15143,neutral or discontent
78136,neutral or discontent
120433,content
41440,neutral or discontent
15963,neutral or discontent
64303,neutral or discontent
3608,neutral or discontent
7744,neutral or discontent
21276,neutral or discontent
58576,content
53888,neutral or discontent
10980,content
54151,neutral or discontent
115641,neutral or discontent
58584,neutral or discontent
50472,neutral or discontent
102623,content
31533,neutral or discontent
42287,neutral or discontent
70467,content
20461,neutral or discontent
113346,content
115566,neutral or discontent
119896,content
88853,neutral or discontent
24895,neutral or discontent
31122,content
91231,neutral or discontent
61426,neutral or discontent
68873,neutral or discontent
125701,neutral or discontent
94999,neutral or discontent
56694,neutral or discontent
62010,content
95868,content
123064,content
103418,neutral or discontent
73456,neutral or discontent
8851,content
64241,neutral or discontent
81723,neutral or discontent
88237,content
50619,neutral or discontent
54444,neutral or discontent
64765,neutral or discontent
15941,neutral or discontent
14965,content
36897,neutral or discontent
127954,content
27872,content
35854,content
14527,content
47021,neutral or discontent
11224,neutral or discontent
3921,neutral or discontent
69463,neutral or discontent
47050,neutral or discontent
21970,content
30046,content
1256,neutral or discontent
73813,neutral or discontent
110928,neutral or discontent
102981,content
61571,content
3796,neutral or discontent
73906,neutral or discontent
74090,content
76645,neutral or discontent
100462,neutral or discontent
54164,neutral or discontent
6147,content
1262,neutral or discontent
20310,content
46896,content
7237,neutral or discontent
44293,content
52496,content
68263,neutral or discontent
5289,neutral or discontent
109359,content
94988,content
53605,content
11005,neutral or discontent
14794,content
49480,content
120440,neutral or discontent
55823,neutral or discontent
107792,content
80531,content
128145,content
63370,neutral or discontent
12452,neutral or discontent
16145,content
44418,neutral or discontent
95746,content
41134,neutral or discontent
3214,neutral or discontent
74101,content
106220,content
88134,content
64475,content
123812,neutral or discontent
88893,content
31244,content
97762,neutral or discontent
59851,content
25137,neutral or discontent
18412,neutral or discontent
87192,neutral or discontent
127062,neutral or discontent
112169,neutral or discontent
127798,neutral or discontent
91778,neutral or discontent
42609,content
67482,neutral or discontent
91108,neutral or discontent
102318,neutral or discontent
51281,content
6528,neutral or discontent
121232,content
72478,content
122788,neutral or discontent
5528,content
107726,neutral or discontent
72606,neutral or discontent
75522,neutral or discontent
125687,neutral or discontent
79908,content
117345,content
73465,neutral or discontent
95851,content
44992,neutral or discontent
70631,content
13761,content
74968,neutral or discontent
12371,neutral or discontent
8378,content
82080,neutral or discontent
107972,content
101228,content
85577,content
2717,content
88529,content
91613,neutral or discontent
88865,neutral or discontent
96960,content
51191,content
9461,neutral or discontent
66384,neutral or discontent
41934,neutral or discontent
25381,neutral or discontent
14757,content
94013,content
80107,neutral or discontent
23590,neutral or discontent
110384,neutral or discontent
15069,content
17128,neutral or discontent
54060,content
129240,neutral or discontent
97165,neutral or discontent
111696,content
1887,neutral or discontent
89086,neutral or discontent
35485,neutral or discontent
35719,neutral or discontent
85669,neutral or discontent
1137,neutral or discontent
8358,content
17217,content
44847,neutral or discontent
96673,neutral or discontent
80152,neutral or discontent
82277,neutral or discontent
123927,neutral or discontent
115766,neutral or discontent
21134,neutral or discontent
112062,neutral or discontent
28643,content
108010,content
92145,content
115846,content
99685,content
112072,neutral or discontent
119226,neutral or discontent
115925,neutral or discontent
106552,neutral or discontent
25126,neutral or discontent
33426,content
125844,neutral or discontent
70328,content
88847,neutral or discontent
108398,neutral or discontent
97316,content
124811,neutral or discontent
23012,content
18088,neutral or discontent
37982,neutral or discontent
31332,neutral or discontent
97455,content
28901,content
107606,neutral or discontent
53258,content
14292,content
68232,content
51224,content
121386,neutral or discontent
31668,neutral or discontent
24628,neutral or discontent
95876,content
62793,neutral or discontent
83516,neutral or discontent
13221,content
100404,neutral or discontent
121453,neutral or discontent
21454,neutral or discontent
15937,content
70105,content
47540,content
57561,content
124103,neutral or discontent
125736,content
93362,neutral or discontent
95429,content
106943,content
100691,neutral or discontent
119948,neutral or discontent
15778,neutral or discontent
68342,content
24665,neutral or discontent
81029,content
70371,neutral or discontent
1386,content
35225,content
86204,content
126370,neutral or discontent
116184,neutral or discontent
89613,content
99020,content
18463,content
96637,neutral or discontent
114678,content
97639,content
75061,content
51744,neutral or discontent
44413,neutral or discontent
2389,content
105062,neutral or discontent
91464,neutral or discontent
55721,neutral or discontent
65726,content
8473,content
13488,content
58611,content
39607,neutral or discontent
41704,neutral or discontent
126579,neutral or discontent
44232,content
44021,neutral or discontent
67502,neutral or discontent
19525,content
110015,neutral or discontent
30960,neutral or discontent
2153,neutral or discontent
115097,content
63204,content
113849,content
95508,neutral or discontent
112350,content
20650,content
65517,content
116988,neutral or discontent
116210,neutral or discontent
15218,content
35387,content
20002,content
102927,neutral or discontent
92462,neutral or discontent
